B1,r1,Starbucks,123,MISSION ST STE ST1,SAN FRANCISCO,4155431510
B1,r2,Starbucks,123,MISSION ST,SAN FRANCISCO,4155431510
B1,r3,Starbucks,123,Mission St,San Francisco,4155431510
B2,r4,Starbucks Coffee,340,MISSION ST,SAN FRANCISCO,4155431510
B3,r5,Starbucks Coffee,333,MARKET ST,SAN FRANCISCO,4155434786
B3,r6,Starbucks,,MARKET ST,San Francisco,1
B4,r7,Starbucks Coffee,52,California St,San Francisco,4153988630
B4,r8,Starbucks Coffee,52,CALIFORNIA ST,SAN FRANCISCO,4153988630
B5,r9,Starbucks Coffee,295,California St,San Francisco,4159862349
B5,r10,Starbucks,295,California St,San Francisco,2
